,Ovary-AdenoCA,CNS-PiloAstro,Liver-HCC,Panc-Endocrine,Kidney-RCC,Prost-AdenoCA,Thy-AdenoCA,ColoRect-AdenoCA,Lymph-BNHL,Uterus-AdenoCA,Breast-AdenoCA,Lung-AdenoCA,Panc-AdenoCA,Eso-AdenoCA,Head-SCC,CNS-Medullo,CNS-GBM,Skin-Melanoma,Lymph-CLL,Kidney-ChRCC,Stomach-AdenoCA,Lung-SCC,Bone-Osteosarc,Myeloid-MPN
Bin_1126,0.2857142857142857,0.2,0.0,0.7031963470319634,0.08108108108108109,0.043010752688172046,0.05555555555555555,0.0,0.16535433070866143,0.06306306306306306,0.029069767441860465,0.0,0.011627906976744186,0.0,0.2727272727272727,0.041666666666666664,0.010526315789473684,0.02127659574468085,0.0,0.0,0.0,0.0,0.0,0.0
Bin_1127,0.04285714285714286,0.0,0.0,0.4657534246575342,0.0,0.06451612903225806,0.2222222222222222,0.0,0.023622047244094488,0.05405405405405406,0.046511627906976744,0.0,0.0,0.0,0.0,0.0,0.21052631578947367,0.02127659574468085,0.0,0.0,0.0,0.0,0.0,0.0
Bin_1128,0.12857142857142856,0.0,0.0,0.3972602739726027,0.0,0.010752688172043012,0.4444444444444444,0.0,0.01968503937007874,0.018018018018018018,0.7325581395348837,0.0,0.1511627906976744,0.012048192771084338,0.36363636363636365,0.041666666666666664,0.2631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bin_1129,0.11428571428571428,0.06,0.01818181818181818,0.45662100456621,0.0,0.010752688172043012,0.5,0.0,0.2440944881889764,0.06306306306306306,0.9069767441860465,0.0,0.1511627906976744,0.13253012048192772,0.36363636363636365,0.375,0.49473684210526314,0.02127659574468085,0.0,0.0,0.0,0.0,0.0,0.0
Bin_1130,0.24285714285714285,0.16,0.0,0.6529680365296804,0.08108108108108109,0.03225806451612903,0.3888888888888889,0.0,0.2952755905511811,0.04504504504504504,0.8837209302325582,0.0,0.1511627906976744,0.04819277108433735,0.2727272727272727,0.041666666666666664,0.35789473684210527,0.02127659574468085,0.0,0.0,0.0,0.0,0.012048192771084338,0.0
Bin_1131,0.2,0.14,0.01818181818181818,0.4383561643835616,0.013513513513513514,0.0,0.5,0.0,0.27165354330708663,0.02702702702702703,0.9011627906976745,0.0,0.1511627906976744,0.012048192771084338,0.36363636363636365,0.125,0.3157894736842105,0.02127659574468085,0.0,0.0,0.0,0.0,0.03614457831325301,0.0
Bin_1132,0.08571428571428572,0.02,0.07272727272727272,0.2237442922374429,0.04054054054054054,0.0,0.5,0.0,0.27165354330708663,0.0,0.8081395348837209,0.0,0.1511627906976744,0.12048192771084337,0.09090909090909091,0.0,0.3368421052631579,0.02127659574468085,0.0,0.0,0.0,0.0,0.012048192771084338,0.0
Bin_1133,0.35714285714285715,0.3,0.01818181818181818,0.45662100456621,0.0,0.03225806451612903,0.2777777777777778,0.0,0.05511811023622047,0.12612612612612611,0.8372093023255814,0.0,0.1511627906976744,0.024096385542168676,0.45454545454545453,0.08333333333333333,0.12631578947368421,0.02127659574468085,0.0,0.0,0.0,0.0,0.012048192771084338,0.0
Bin_1134,0.02857142857142857,0.0,0.0,0.0958904109589041,0.04054054054054054,0.021505376344086023,0.05555555555555555,0.0,0.05511811023622047,0.02702702702702703,0.0,0.0,0.0,0.0,0.18181818181818182,0.08333333333333333,0.042105263157894736,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bin_1135,0.2714285714285714,0.24,0.09090909090909091,0.0319634703196347,0.0,0.043010752688172046,0.1111111111111111,0.0,0.18110236220472442,0.04504504504504504,0.6918604651162791,0.0,0.13953488372093023,0.012048192771084338,0.36363636363636365,0.4583333333333333,0.14736842105263157,0.02127659574468085,0.0,0.0,0.0,0.0,0.0,0.0
